sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,Keelung,63,細懸浮微粒,普通,0.4,0.21,45.7,44.2,40,23,4.7,5.4,0.7,1,104,"2023/04/21 20:00:00",0.2,20,33,0,121.760056,25.129167,1
汐止,New Taipei City,53,細懸浮微粒,普通,1.1,0.32,24,31.5,40,19,19,21,1.9,0.3,34,"2023/04/21 20:00:00",0.2,16,31,0,121.64081,25.06624,2
萬里,New Taipei City,73,懸浮微粒,普通,0.4,0.16,50.7,48,65,23,2.5,3.3,0.7,3.3,48,"2023/04/21 20:00:00",0.1,18,73,0,121.689881,25.179667,3
新店,New Taipei City,51,細懸浮微粒,普通,0.6,0.43,22.5,31,34,19,18.3,19.8,1.5,1.5,97,"2023/04/21 20:00:00",0.3,15,26,0,121.537778,24.977222,4
土城,New Taipei City,58,細懸浮微粒,普通,0.5,0.41,28.3,28.6,38,23,16.7,17.5,0.8,0.7,272,"2023/04/21 20:00:00",0.3,18,31,0,121.451861,24.982528,5
板橋,New Taipei City,62,細懸浮微粒,普通,1.6,0.48,25.4,24,39,24,21.7,23.7,1.9,1.5,50,"2023/04/21 20:00:00",0.4,20,32,0,121.458667,25.012972,6
新莊,New Taipei City,54,細懸浮微粒,普通,0.7,0.41,30.8,27,46,19,15.7,16.9,1.2,1.4,81,"2023/04/21 20:00:00",0.3,16,36,0,121.4325,25.037972,7
菜寮,New Taipei City,60,細懸浮微粒,普通,0.6,0.44,31.2,30.9,38,22,16.9,17.6,0.7,2.5,102,"2023/04/21 20:00:00",0.4,19,34,0,121.481028,25.06895,8
林口,New Taipei City,52,細懸浮微粒,普通,0.8,0.35,29.9,30.9,31,22,17.3,18.2,0.9,0.3,75,"2023/04/21 20:00:00",0.2,16,29,0,121.36548982,25.07798949,9
淡水,New Taipei City,44,,良好,0.9,0.33,29.5,37.4,28,20,9.9,10.7,0.8,,,"2023/04/21 20:00:00",0.2,13,22,0,121.449239,25.1645,10
士林,Taipei City,46,,良好,0.8,0.27,34,33.9,29,16,12.2,12.6,0.4,2.8,150,"2023/04/21 20:00:00",0.2,14,26,0,121.51666356,25.10334003,11
